,rating,title,Review_text
62,4,6 months,I brought this back in July and it worked perfectly. it made me play the Sims 4 heaven for my added cc but just recently in December now it doesn't work. i can't even locate it on my computer and now 6 months' worth of files are lost... im very upset. it should work longer than that time frame i suggest if you do buy have another on standby to move all of your files to the other as a duplicate im very sad right now
63,1,"Says it will work with my Xbox one S, but lies",This device is suppose to be an expansion storage card for my xbox. But I still can't play games from it. Not worth the money.Absolute trash
64,1,Died in less than 2 years,This hard drive worked just fine for 1 year and 8 months.It then died and so I ran a CHKDSK - It then worked for 2 days and died again.I was fortunate to have had those 2 days in which I promptly backed up the contents of the drive. I'm replacing it with a much more reliable Samsung 2 TB solid state drive.If I need more capacity I'll buy a second Samsung 2 TB solid state drive - No moving parts and the Samsung brand = a much more reliable and longer lasting drive.
65,1,Horrible,"Compre uno de estos y solo duró 15 días. Ya no se conecta. Sientes el motor fucinando pero da error y no se conecta. Intente con otros cables, en otros puertos, en otras PC y nada. No lo volveré a comprar nunca en mi vida"
66,2,WARNING - Seagate will NOT support you when this drive fails!,I've had this drive for 3 years. In the past couple of weeks it would randomly disconnect from my computer. Today I pulled the power cable out of the port in the back and the metal housing the cable fits into came out with it. I now have a useless drive and no way to access the data. Called Seagate and was told they would do nothing since the serial number has rubbed off the bottom of the drive and I can't read it anymore.Do NOT buy this brand!
67,5,Reliable and high quality,I have been using this daily for about 2 years and still works great. Highly reccomend
68,5,Respaldo,En el momento es el medio más practico para respaldar los archivos.
69,1,Worked for 9 days,I'm done with Seagate products. This worked great.... For 9 days. Now it's not being recognized by any PC in my house. Junk
70,5,Just plug and play,"I bought this over a year ago for my Xbox One S and it is still going strong, just install any heavy multiplayer games like Warzone or R6 Siege to your console to avoid lag. You most likely won't lag but it's best to be safe. Also, Fallout 4 might be laggier if you install it on your EHD with mods running. Other than those specific games everything runs perfectly. I recommend to everyone because it is excellent for such a cheap price."
71,5,Amazing space and easy setup,The size on this is amazing. I’m able to store many many large games and save files for my work on this drive. Would recommend if you enjoy games and don’t have enough space or just need to store a lot
72,5,Xbox Series S,"I can confirm that this external hard drive works with the xbox series s. The only problem is that you cannot play optimised games for the series x/s on the drive, but that will always be the case no matter what external hard drive or ssd you get for your series x/s. You can store optimised games on the drive, but you cannot play them unless you move them into the internal storage. You can still play any other games on the hard drive as long as it is not optimised for the console. Only problem I actually have with this drive is that it's actually about 1.8tb, but I assume every other 2tb hard drive has the same problem."
73,5,Best Tech Support Ever !!!!!!,"I got this item because I lost information from a computer crash once before and didn't wanna chance it again.So I extracted all I needed from the old to transfer to the new ad store what I need to from the new, you know just in case.Was using Window but new computer is Windows 11 and the Seagate had to be tuned to act accordingly which led to me contacting CS.Wish I would have got the techs name to mention him here but I promise you the service provided was unprecedented.He was very knowledgeable and surefooted of himself, spoke well and there was no hanging on the line as he got right to it, solved it and assured I had received the BEST POSSIBLE OUTCOME.A very satisfying experience"
74,5,Just what I needed,"I've been using flash drives to hold all my various work projects and files, and they were getting hard to manage. This turned out to be the perfect solution - I simply named a folder after each flash drive and copied the files over. It was astonishingly fast, even when using older flash drives through a hub. This drive even fits in the same wallet I use to carry those flash drives!"
75,5,It Meets My Expectations!,"Well, as someone who has been unfortunate to be exposed to useless hard drives sold in my country, It was a relief getting high quality hard drives and SSD from Amazon. Overall cost to ship these items to Nigeria makes the price unappealing. However, I will rather spend that extra dollars for shipping than buying a useless hard drive that will die in a matter of months or won't even work at all. I bought 2 of these hard drives. No complaints so far.."
76,5,Excellent quality,Great hard drive.It meets and exceeds all my needs.Great value for the price.
77,3,Misleading product description,Says compatible with Mac when it is not
78,1,Don’t buy it,This is a scam I been trying to upload for a minute won’t let me download or send files or nothing to this things it’s all bad
79,1,stopped working after 2 months,crap product stopped working after 2 months
80,5,Seems to work just fine,"Standing in for a failed data drive on my desktop. It seems to work just fine, and the capacity is excellent."
81,5,"Portable, large capacity storage",Easily works in my win/iOS mixed environment. Large capacity for photo and video projects. Fast enough.
82,2,Failed after hardly any use,"I had it for a few years but had only made a backup to it a couple of times.I was going to start using it again, but every time I backed up to it, there was corruption.Smartctl reported a bunch of uncorrectable errors (187)."
83,1,Sent me the internals,Just the inside of the drive came. No USB port or shell
84,5,Very good product,I have used this for almost 1.5 years and it still running fine without any problem!
85,4,Large enough drives for most backing up needs of an average personal computer,I order two for backing up 2 computers a windows 11 work laptop and a personal Linux machine the drive works out of box with windows 11. For Linux you have to reformat the whole drive to Ext 4. Delete all partitionsThen reformat it will work. Note that windows 21 H2 has a left over Windows 7 tool for backing up your computer if you don't want to use cloud services.
86,5,Great Choice,"My First ever Seagate hard drive ,won't be my last, very pleased with this drive , using it on my Roku Ultra, works flawlessly, right out of the box. Have had absolutely no issues at all. Last WD. Drive I purchased was dead on arrival. Not this one , works great. Good price too. Thanks"
87,5,Good quality,"Working as good external hard drive, I am happy with that."
88,5,Have gotten two of these and both have been perfect.,"Great ""back-ups"". I have four SeaGates (500g, 1T & 2x2T) and am pleased with all of them. Great quality. Used with Windows 10, they're completely ""Plug & Play"", with ""drag & drop"" file transfer.Can honestly say: Buy with confidence."
89,5,Works as expected with no issues,"So far seems like a great little external hard drive.No issues getting it up and running, though as an FYI for some others out there if it doesn't work when you plug it into a USB connection, try another one on your computer.This happened to me but is not tied into the Seagate drive as I have this with many other USB drives, some USB connectors on my computer just don't want to read a drive."
90,5,Cheap and cheerful backup storage.,Don't risk losing your data by saving a few bucks on one of those no-name hard drive brands.No brand is perfect or immune from drive failure but your best bet is to go with a name like Seagate.
91,3,Only 14.5 TB,"I know externals all lie about the true storage, but a whole 1.5 TB difference is kind of big.Granted i know ill probably never fill even half of this.SO far its working fine, but it is alot noisier than my last External.Uploading files and watching videos from it it working fine, i use it mainly for storage of all my videos and photos."
92,5,Exactly as advertised,Exactly as advertised
93,5,Fantastic,I love Seagate portable external drive! I had one before but it ran out of space! This is my second Seagate external drive! It is very easy to use! Highly recommended if anyone is interested.
94,3,Did not work with my MacBook Pro,Did not work with my MacBook Pro even though it stated it in the description.
95,5,A must have device,"This is just what my Apple tech guy told me I needed.Thank you, jw"
96,5,Works well,"Works great for my needs, easy setup. I just connected to my laptop and it did the rest. It is small and very portable. Granted, I have only used it to store about 190 GB so far, so I can't speak to the reviews that state that once they are half full there are problems. I have not had to deal with tech support either, so I have no comments there. I have used other Seagate drives in the past and have had no problems, for what it's worth."
97,1,"Took Overnight To Transfer 500GB- Slow, only buy if you are in no rush to read or write anything",SLOW AS MOLASSES
98,5,Gift buy,I purchased this for my son. I haven't heard any complaints about it from him it seems to be working all this time just fine since I bought it. It was a good deal
99,1,NOT FOR MACS - PLEASE DO NOT FALSE ADVERTISE,"it's quite annoying when you needed the portable to come on time and found out that you can't use it on Mac, please remove the feature where you can use it on Mac"
100,1,Failed after 1month,Drive starting failing after less than a month.Feels like a cheap plastic external case. I would not buy this again.
101,5,Works on my PS4!,"My product came on time and was in perfect condition! No damage on the packaging or the hard drive.I bought the 5TB external hard drive for my PS4 and it works great! I connected the given cable to my port on my PS4 and immediately worked. I instantly converted my drive to format properly on the ps4 and began downloading apps and games that I couldn’t do before! Although keep in mind, if you use this hard drive for another device or vice versa, the data must be deleted. I got that warning before formatting- just to let you know!In general, if you need extra storage space, I definitely recommend this! Also, the device is really small, matter of fact it’s roughly the size of one’s palm of their hand."
102,1,does not work with my Mac,is not compatible with my Mac computer
103,5,Really good,"My computer was working very slow because the disk capacity was full, but once I connected the sea gate portable external hard drive my computer is running very smoothThank youA bec"
104,1,It keeps breaking,"The media could not be loaded. I always bought Seagate portable hard drives.I decided to get a20 TB external harddrive Seagate specifically, hoping, since it was more expensive than Western Digital, that it would be better.It is not.Every time I must move my laptop and I disconnect the hard drive through the USB C chord, when I reconnect it, I can't drag anything on it anymore and I must always move it to a PC to fix the drive.It is extremely invonvenient.I keep getting messages that ""this drive can't be fixed"" and it can be fixed only through a PC computer.I don't want to fix the drive every time I need to use it.And my main mac can't fix it.Just to compare, I bought a Western Digital 20 TB Drive for a fraction of the cost, on sale for about $380 and the Western Digital 20 TB hard drive never gave me such issues.I have made a conscious decision to not buy Seagate anymore.Western Digital always works and my 12 year old Western Digital drive I still have, still works smoothly without any issues whatsoever.I have no idea why I decided to switch to Seagate.I guess I must have figguered that if it is more expensive that somehow it is better.Well, I've had two Seagate drives give me issues so far and none of the Western Digital ones ever stopped working."
105,1,Not 14T as advertised,I paid extra to get the 14t for the extra space but in reality it was only 12t.What a rip-off!!!
106,5,Works well with Xbox Series X,Affordable storage for Xbox games
107,1,I wouldn't trust this product with anything important,"Unfortunately was trying to use this to store mass video content because it's high resolution meaning massive file sizes. I've only been using for a few months and it's broken. Lost important files that literally can't be replaced. I'm extremely disappointed. Writing this review in hopes that two things will happen: 1. Seagate will help me recover these files somehow, and 2. They will replace the faulty product. I couldn't be more let down by this. Countless memories lost."
108,5,Still works great after almost a year!,I have had my 5tb for almost year now connected to the PS4 and it's still working great!!I've had No issues was easy to connect thinking of getting another one.
109,5,Will buy again,Satisfied
110,5,I’m going to buy another one !!,"Excellent transfer, slim easy to carry on, work fast on Xbox x/s"
111,2,Not sure how long this will last,So far so good. No issues yet.Update after a month of periodic use: The drive has begun to make concerning grinding noises. Not sure how long the data on the device will last.
112,1,Faulty hardware. Loss of files.,After less than two hours of opening hard drive malfunctioned. Started buzzing and is no longer discoverable on computer or disk management.Do not recommended this product. Lost 20 GB of files.
113,5,Veloz y eficaz en Playstation 5,The media could not be loaded. Trabaja bien y fue reconocido por mi Playstation 5
114,1,Unreliable,"The storage capacity and the portability drew me in back when I first started shopping around, and it was an excellent price too. So I bought this to store all of my unity projects and it worked great ... for the first day.Now it disconnects randomly without any warning, and I'm paranoid all of my work is going to be corrupted, so I refuse to use it until I find a suitable replacement and, hopefully, retrieve all of my files. Find yourself something a little more reliable, especially if your files contain days, sometimes weeks, worth of work; you'll thank yourself for it later."
115,1,Used once and it failed,"Used once to download data and the next time I plugged it in it failed.Tried a new cord, running diagnostics, etc.Now it's too late to return.Do not recommend wasting your money on this."
116,1,Broke a little over 6 months of use without a drop or accident,Broke a day before my Finals with all my data and VMs on it. I would not recommend this product as it is not reliable.
117,2,Drive is good while it lasts,"Bought several of these it works good while it lasts. However warranty is not anywhere near sufficient. BEWARE you get warranty and the ""Rescue"" feature for only 1 year (!), so my drive would not boot up on connection and makes strange noises 15 months after purchase. Essentially all data on it is GONE - you would have to buy 2 of them so that you make a ""backup of a backup"" and not loose your data."
118,1,Don't trust as only backup!!!,After 5 months drive stopped working.Just started making a humming noise.Lost all my data!!
119,5,Producto de Calidad y fiabilidad,El producto llegó en tiempo perfecto y con los requerimientos de cuidados necesarios. Se recomienda al vendedor cien porciento
120,5,Much need storage space for Backups.,This works great for backup purposes.Not the fastest but hey it's 10TB!I had some problems when the PC went to sleep with it recognizing it when the PC wakes up.My backups run early in the a.m. (2-3 am) so I attribute that to maybe the drive being slow to wakeup and come online.Not sure.I've had this for a while and works great.Always had Seagate drives and find them very reliable.
121,2,"NOT ""Plug'n Play""","Very long, time consuming story made short is that this drive came with nothing built in to it to enable me to simply plug it into my laptop and make it work.I have no formal computer training whatsoever and all I wanted to do was back-up my files in case of the laptop crashing.Many frustrating hours of youtube tutorialsand phone calls before I could get my computer to recognize it.Don't say I didn't warn you."
122,5,Works like a champ!,I connected this Seagate Portable to my Tablo Digital Video Recorder and it worked first time with no problems since.
123,5,Just what I needed,Purchased to expand my Dex environment. Just what I needed to ditch an old school desktop
124,5,it works,as expected
125,5,Easy to set up,Love it used it for my ps4 just took a long time to get it
126,1,Can’t get it to format for Mac even though it says it will work on a Mac.,Won’t format for Mac.
127,4,good capacity but still sdd life & external speed,"perhaps it’s the older mac os, this does not provide a smooth TimeMachine restore from a dead HDD"
128,5,Great value great hd,Affordable easy too use plug n playreliable
129,1,Not compatible with ps5 I transferred 2k23 and it deleted my game I had to re-copy.,Not compatible with ps5 I transferred 2k23 and it deleted my game I had to re-copy.
130,5,Good job,good for a computer's job
131,1,not good,could not get it to work on my new desktop computer Windows 11 also would not work on my laptop or iPad 4 thumbs down.
132,5,Exactly what we wanted,Works perfectly and is exactly what we needed
133,5,"Simple and easy to use to transfer or store files, videos, or photos!","I bought a new computer and needed to transfer data. On a Mac, I didn't have to download any software or do anything special. The process was simple and intuitive for this GenXer! Great price for a substantial amount of storage. I would 10/10 buy again!"
134,1,It lasted 2 weeks,I left it plugged into my Windows 10 computer.I couldn't get my computer to boot.I unplugged the Seagate USB drive and the computer could boot up.I could not see the drive in explorer or disk management.Tried multiple USB ports and another computer.
135,5,Everything you need,You get what you pay for
136,1,Failed after 4 months,It failed after 4 months of use. I contacted tech support and they told me I should back up to online. To me that’s too short of a life span for a usb at this cost & unreliable for my job.
137,5,Very useful,I keep this connected to my computer and store all files on it.
138,5,Does what it is made to do.,"Once I formatted it NTFS (it was formatted extFAT) and told Disk Management to open the drive, Windows 11 saw the drive.Current standard for counting bytes is still a lie (drive is really 14.5Tb, not 16Tb).All in all a great deal!"
139,1,This device is terrible 1 star,Broke within hours of first use
140,5,Great price,Easy to use and a great price
141,5,Crashed,"Took a year and a half. But it won't repair itself, won't let me load content from it and won't wipe clean to use it again. Was using it to store PS4 games as an external. Doesn't vibrate from fan movement. Light comes on but nobody home."
142,5,Great storage,The media could not be loaded. Great additional game storage. Save some time copying instead of re downloading. Plus Seagate is a great brand. If you are using this for a PS5 you need to plug it into the back usb port of the console.
143,5,Works great!,Added needed storage for PS4!
144,5,Great external drive.,Great external drive.
145,1,DOA - Returened for a refund,"The hard drive I received wont power on.I didn't take the time to test weather the problem was with the cord or the HHD case, before deciding to send it back.Also the USB 3.0 Plug on the side was constructed a cheaply as I have ever seen.I had to gently work with it for several minuets just to plug the USB cable into the drive casing.I hate to give bad reviews but this time I just received a box of disappointment."
146,1,BUYER BEWARE!!!!!!!!!!!,"I am now past my return window and this piece of junk stopped working with all of my drone footage on there. I should have paid attention to the reviews. My loss, doesn't have to be yours. Save your money and time and buy elsewhere from a better company."
147,5,Works as promised,I have a variety of 2.5 and 3.5 HHD anywhere from 500GB to 4 TB that were sitting collecting dust after upgrading to SSD.This enclosure is a great tool to allow me to clone / copy / backup all the upgrades with ease.A simple swap of the drive type and I now have a sturdy USB compatible with every device I have.Also use to store system images for fast recovery.Nice product if you want to repurpose any HHD you have.
148,1,Crashes PS4.,Not good. Constantly crashing my PS4.
149,1,Do Not Buy This Product!They want too much personal information,I want an external hard drive and not to be asked personal questions about what I want to do with it.It should be easy to use but I'm going to throw it away.There's no privacy with this product on your computer.
150,3,Difficulties with large files,"I like the storage capacity and price of this external hard drive, but it has difficulty reading large files. I think this is a limitation of it being only USB powered. It works well for smaller files, but it is sometimes completely unable to open large PDFs (books)."
151,5,Excellent.,I'm happy with how it works.
152,1,it's the worst,it doesn't work
153,4,"If using with a Mac/USB-C, you will need an adapter","Received this on time and as described.A little disappointed the connection to the drive itself is proprietary (not USB-A or USB-C), so had to order an adapter to connect to my 2016 MacBook Pro."
154,1,Either used or box open. Returning it.,Why did this hard drive not come with any box packing from seagate?? The plastic box is not sealed as well. The outer cardboard box does not have anything mentioned of seagate anywhere. Going to return this. Feels like used or box open piece when I paid for new.
155,5,Great Storage for Backup Game ROMS,Great Storage for Backup Game ROMS - especially full libraries of CD based retro consoles. Also massive storage in general with the portable 5 terabytes.
156,1,Don’t waste your money!,"This is a horrible product and not worth the money. I would never buy this again and had I known it would stop working in less than 3 months I would have never bought it at all. For the price of this product it was not worth the time it worked. Save your money, Don’t buy!"
157,5,Excelente equipo,Buen equipo
158,5,"I use it for daily backup, so far works flawless","I use it to have an offline backup of my NAS, so far 14TB is large enough though sooner or later I'd need a bigger one. The backup is like time machine so I can go back several months in time.It runs a backup every day, and it's been exactly 1 year, it's about 70% full now..."
159,5,Nothing its good as far as i know,So far so good Its been about a year.
160,4,Works as needed,Works great try not to juggle it around if taking it places. But very portable and handy. Storage is perfect
161,5,Perfect,External hard drive is perfect in every way.Couldn't be happier.
162,5,Great,Great
163,5,So far. so good!,The 18 terabyte storage capacity was quickly recognized by my desktop HP computer.Both ports seem to work well.It will work well for integrating my data stored across multiple computers.
164,1,Not Compatible With Mac,Unless you want to download and partition with non Mac system....don't buy this.
165,2,Not 4tb only 3.63TB available,Not sure why it has so much memory not available? Maybe I’m reading it wrong but seams like its not a full 4tb. It seams to move files over fast though.
166,1,Trash !,This product is trash and I just lost a ton of backed up data that’s going to cost me $600-$1900 IF it can even be recovered DO NOT BUY ! I’ve only had it since August
167,1,Dead on Arrival,Would not power on.
168,5,Dose What It Does,It's an external hard drive made by the leading brand for them. It does what they say it does. No complaints. it cool :)
169,5,Works great,This is a great cost effective way to store more files. It’s easy to use and not heavy or bulky.
170,5,"Huge, fast, affordable","I backed up everything I own, multiple huge hard drives, all onto this one drive. I was extremely pleased with the speed, quietness and design.Best backup drive I have owned, and everything went so smoothly that I have full confidence in having all my data backed up in a safe place."
171,4,Second Time Was a Charm,Bought this to offload my library of games and apps to an external storage device. First drive came and was dead on arrival. Xbox One wouldn’t detect it and my Linux computer reported drive read errors. It was quickly replaced by Amazon and the second drive has had no errors so far. Xbox One detected it right away. It’s been transferring games from internal storage to external storage at about 500Mbps.
172,3,NOT 16 TB Despite listing,First thing I noticed was that as soon as you boot it up you find out that it's only 14.5TB.That's 10% less than what I thought I was buying.I expect some loss of product as most drives have that.I don't expect to get a full Terabyte and a half less than what I paid for.
173,1,Keeps disconnecting,The hard drive keeps disconnecting endlessly from my computer.
174,5,Excellent,I am very happy with this product
175,5,Full of storage,Used it to move some of my p4 games over & it was very easy to get done
176,1,Stopped working suddenly. No drives on website.,Stopped working. Don't know why.
177,5,Plug & Play... Literally!,Extremely simple to use and very compact and light. Great value!
178,5,This has lasted so long,Is what it says it is but it’s just 999.99 gbs not a whole tb and I’m MAD
179,2,"Lasted less than a year, never made it past 30% space and crashed","Stored indoors, used every couple of days within reason. Never dropped or damaged, drive went bad out of no where. Will not purchase again."
180,1,Absolute garbage!,"This thing didn't even last two months. I put data on this thing, a total of six times. It has about 3 tb left and it will not turn on. I bought a new cable and I've tried connecting it to an acer, an hp, and my regular tower pc. Nothing. No light, no sound, nothing. I'm glad I was only using this for backup and not my main storage. Don't buy this trash. Save your money and get a regular hard drive or an ssd"
181,1,Do NOT buy!,"I have had this all of 2 months and it is an absolute nightmare. I've lost EVERYTHING that was stored on it. It was working okay one minute, the next it's completely freezing my computer. Unplug the drive and The computer works fine. Plug it back in and it freezes everything again. Can't even format it because it freezes everything while plugged inSo unless you want to pay hundreds for data recovery or just losing everything, don't waste your money on this piece of crap!!!!!Also The cord that comes with it is poorly made and only designed for this hard drive, it doesn't take any other cords.Which means if the cord goes out, which it does very quickly, the only option is to buy another one of their cords. Run far away from it!!!"
182,1,Defective,After reading the reviews and thought it would be OK. I bought the 4tb. Little did I know it was a $99 humming box. I originally bought it for my pa4 but after not being able to see the device I tried my Xbox 1. Didnt even show up. Maybe its just my systems so I tried my computer in every usb port. Absolutely nothing!!!
